Total years 125, min: 1888, max: 2019
---
year	total	r0	r1	r2	r3
1888	1	1	0	0	0	0.000000%
1892	1	1	0	0	0	0.000000%
1895	2	2	0	0	0	0.000000%
1896	4	4	0	0	0	0.000000%
1898	3	3	0	0	0	0.000000%
1899	2	1	0	0	1	50.000000%
1900	11	11	0	0	0	0.000000%
1901	3	3	0	0	0	0.000000%
1902	4	4	0	0	0	0.000000%
1903	5	5	0	0	0	0.000000%
1904	4	4	0	0	0	0.000000%
1905	2	2	0	0	0	0.000000%
1906	7	6	1	0	0	0.000000%
1907	2	2	0	0	0	0.000000%
1908	1	1	0	0	0	0.000000%
1909	3	1	1	1	0	0.000000%
1910	3	2	0	0	1	33.333333%
1912	3	2	0	1	0	0.000000%
1913	2	2	0	0	0	0.000000%
1914	1	0	0	1	0	0.000000%
1915	1	0	0	1	0	0.000000%
1916	5	2	0	0	3	60.000000%
1917	5	1	0	1	3	60.000000%
1918	4	1	0	0	3	75.000000%
1919	2	1	0	0	1	50.000000%
1920	3	1	0	0	2	66.666667%
1921	4	1	0	1	2	50.000000%
1922	9	1	2	3	3	33.333333%
1923	5	3	0	1	1	20.000000%
1924	11	7	0	2	2	18.181818%
1925	9	6	0	3	0	0.000000%
1926	6	2	3	0	1	16.666667%
1927	11	3	4	2	2	18.181818%
1928	14	8	2	3	1	7.142857%
1929	9	4	0	2	3	33.333333%
1930	11	2	2	1	6	54.545455%
1931	24	3	5	3	13	54.166667%
1932	23	3	8	4	8	34.782609%
1933	19	2	4	0	13	68.421053%
1934	17	2	5	1	9	52.941176%
1935	12	0	2	5	5	41.666667%
1936	27	3	4	4	16	59.259259%
1937	20	1	4	7	8	40.000000%
1938	15	2	3	5	5	33.333333%
1939	30	3	2	12	13	43.333333%
1940	29	5	5	4	15	51.724138%
1941	22	2	6	5	9	40.909091%
1942	20	4	6	2	8	40.000000%
1943	23	4	5	1	13	56.521739%
1944	18	2	2	2	12	66.666667%
1945	21	3	2	3	13	61.904762%
1946	24	3	8	4	9	37.500000%
1947	16	0	2	7	7	43.750000%
1948	23	6	6	4	7	30.434783%
1949	18	4	2	2	10	55.555556%
1950	18	1	4	3	10	55.555556%
1951	18	1	3	2	12	66.666667%
1952	13	1	4	3	5	38.461538%
1953	32	6	9	3	14	43.750000%
1954	29	6	6	5	12	41.379310%
1955	31	3	5	6	17	54.838710%
1956	30	4	7	5	14	46.666667%
1957	33	8	8	6	11	33.333333%
1958	28	5	6	4	13	46.428571%
1959	27	2	7	1	17	62.962963%
1960	30	3	3	7	17	56.666667%
1961	29	7	3	1	18	62.068966%
1962	30	4	7	4	15	50.000000%
1963	36	7	10	4	15	41.666667%
1964	41	6	14	5	16	39.024390%
