year	country	total	r0	r1	r2	r3	share
1888	Albania	0	0	0	0	0	0.000000%
1888	Algeria	0	0	0	0	0	0.000000%
1888	Angola	0	0	0	0	0	0.000000%
1888	Argentina	0	0	0	0	0	0.000000%
1888	Australia	0	0	0	0	0	0.000000%
1888	Austria	0	0	0	0	0	0.000000%
1888	Bahamas	0	0	0	0	0	0.000000%
1888	Belgium	0	0	0	0	0	0.000000%
1888	Bolivia	0	0	0	0	0	0.000000%
1888	Bosnia and Herzegovina	0	0	0	0	0	0.000000%
1888	Brazil	0	0	0	0	0	0.000000%
1888	Bulgaria	0	0	0	0	0	0.000000%
1888	Cambodia	0	0	0	0	0	0.000000%
1888	Cameroon	0	0	0	0	0	0.000000%
1888	Canada	0	0	0	0	0	0.000000%
1888	Chile	0	0	0	0	0	0.000000%
1888	China	0	0	0	0	0	0.000000%
1888	Colombia	0	0	0	0	0	0.000000%
1888	Congo	0	0	0	0	0	0.000000%
1888	Costa Rica	0	0	0	0	0	0.000000%
1888	Croatia	0	0	0	0	0	0.000000%
1888	Cuba	0	0	0	0	0	0.000000%
1888	Cyprus	0	0	0	0	0	0.000000%
1888	Czech Republic	0	0	0	0	0	0.000000%
1888	Denmark	0	0	0	0	0	0.000000%
1888	Ecuador	0	0	0	0	0	0.000000%
1888	Egypt	0	0	0	0	0	0.000000%
1888	Estonia	0	0	0	0	0	0.000000%
1888	Finland	0	0	0	0	0	0.000000%
1888	France	0	0	0	0	0	0.000000%
1888	French Polynesia	0	0	0	0	0	0.000000%
1888	Georgia	0	0	0	0	0	0.000000%
1888	Germany	0	0	0	0	0	0.000000%
1888	Greece	0	0	0	0	0	0.000000%
1888	Hong Kong	0	0	0	0	0	0.000000%
1888	Hungary	0	0	0	0	0	0.000000%
1888	Iceland	0	0	0	0	0	0.000000%
1888	India	0	0	0	0	0	0.000000%
1888	Indonesia	0	0	0	0	0	0.000000%
1888	Iran	0	0	0	0	0	0.000000%
1888	Ireland	0	0	0	0	0	0.000000%
1888	Israel	0	0	0	0	0	0.000000%
1888	Italy	0	0	0	0	0	0.000000%
1888	Japan	0	0	0	0	0	0.000000%
1888	Jordan	0	0	0	0	0	0.000000%
1888	Kazakhstan	0	0	0	0	0	0.000000%
1888	Lebanon	0	0	0	0	0	0.000000%
1888	Liechtenstein	0	0	0	0	0	0.000000%
1888	Lithuania	0	0	0	0	0	0.000000%
1888	Luxembourg	0	0	0	0	0	0.000000%
1888	Malaysia	0	0	0	0	0	0.000000%
1888	Malta	0	0	0	0	0	0.000000%
1888	Mexico	0	0	0	0	0	0.000000%
1888	Mongolia	0	0	0	0	0	0.000000%
1888	Montenegro	0	0	0	0	0	0.000000%
1888	Morocco	0	0	0	0	0	0.000000%
1888	Netherlands	0	0	0	0	0	0.000000%
1888	Netherlands Antilles	0	0	0	0	0	0.000000%
1888	New Zealand	0	0	0	0	0	0.000000%
1888	Norway	0	0	0	0	0	0.000000%
1888	Pakistan	0	0	0	0	0	0.000000%
1888	Palestinian Territory	0	0	0	0	0	0.000000%
1888	Panama	0	0	0	0	0	0.000000%
1888	Peru	0	0	0	0	0	0.000000%
1888	Philippines	0	0	0	0	0	0.000000%
1888	Poland	0	0	0	0	0	0.000000%
1888	Portugal	0	0	0	0	0	0.000000%
1888	Puerto Rico	0	0	0	0	0	0.000000%
1888	Qatar	0	0	0	0	0	0.000000%
1888	Romania	0	0	0	0	0	0.000000%
1888	Russia	0	0	0	0	0	0.000000%
1888	Saudi Arabia	0	0	0	0	0	0.000000%
1888	Senegal	0	0	0	0	0	0.000000%
1888	Serbia	0	0	0	0	0	0.000000%
1888	Serbia and Montenegro	0	0	0	0	0	0.000000%
1888	Singapore	0	0	0	0	0	0.000000%
1888	Slovakia	0	0	0	0	0	0.000000%
1888	Slovenia	0	0	0	0	0	0.000000%
1888	South Africa	0	0	0	0	0	0.000000%
1888	South Korea	0	0	0	0	0	0.000000%
1888	Soviet Union	0	0	0	0	0	0.000000%
1888	Spain	0	0	0	0	0	0.000000%
1888	Sweden	0	0	0	0	0	0.000000%
1888	Switzerland	0	0	0	0	0	0.000000%
1888	Taiwan	0	0	0	0	0	0.000000%
1888	Thailand	0	0	0	0	0	0.000000%
1888	Tunisia	0	0	0	0	0	0.000000%
1888	Turkey	0	0	0	0	0	0.000000%
1888	Uganda	0	0	0	0	0	0.000000%
1888	Ukraine	0	0	0	0	0	0.000000%
1888	United Arab Emirates	0	0	0	0	0	0.000000%
1888	United Kingdom	0	0	0	0	0	0.000000%
1888	United States of America	0	0	0	0	0	0.000000%
1888	Uruguay	0	0	0	0	0	0.000000%
1888	Venezuela	0	0	0	0	0	0.000000%
1892	Albania	0	0	0	0	0	0.000000%
1892	Algeria	0	0	0	0	0	0.000000%
1892	Angola	0	0	0	0	0	0.000000%
1892	Argentina	0	0	0	0	0	0.000000%
1892	Australia	0	0	0	0	0	0.000000%
1892	Austria	0	0	0	0	0	0.000000%
1892	Bahamas	0	0	0	0	0	0.000000%
1892	Belgium	0	0	0	0	0	0.000000%
1892	Bolivia	0	0	0	0	0	0.000000%
1892	Bosnia and Herzegovina	0	0	0	0	0	0.000000%
1892	Brazil	0	0	0	0	0	0.000000%
1892	Bulgaria	0	0	0	0	0	0.000000%
1892	Cambodia	0	0	0	0	0	0.000000%
1892	Cameroon	0	0	0	0	0	0.000000%
1892	Canada	0	0	0	0	0	0.000000%
1892	Chile	0	0	0	0	0	0.000000%
1892	China	0	0	0	0	0	0.000000%
1892	Colombia	0	0	0	0	0	0.000000%
1892	Congo	0	0	0	0	0	0.000000%
1892	Costa Rica	0	0	0	0	0	0.000000%
